"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2016","7.41","8.06","8.06","7.93","1.07K","-9.85%"
"12/27/2015","8.22","8.22","8.22","8.22","0.15K","0.37%"
"12/20/2015","8.19","8.19","8.19","8.19","0.01K","1.61%"
"12/13/2015","8.06","7.99","8.12","7.90","23.82K","-0.12%"
"12/06/2015","8.07","8.52","8.53","7.93","131.79K","-5.28%"
"11/29/2015","8.52","8.56","8.65","8.42","91.03K","-0.70%"
"11/22/2015","8.58","8.62","8.62","8.56","0.01K","0.82%"
"11/15/2015","8.51","8.38","8.55","8.38","0.02K","1.43%"
"11/08/2015","8.39","8.39","8.39","8.39","0.96K","-0.12%"
"11/01/2015","8.40","8.50","8.50","8.48","0.02K","-2.67%"
"10/25/2015","8.63","8.56","8.56","8.56","0.01K","0.12%"
"10/18/2015","8.62","8.46","8.53","8.46","0.03K","2.86%"
"10/11/2015","8.38","8.32","8.47","8.32","0.01K","0.60%"
"10/04/2015","8.33","8.33","8.33","8.33","0.25K","2.46%"
"09/27/2015","8.13","7.96","8.15","7.90","0.59K","1.88%"
"09/20/2015","7.98","8.08","8.08","7.96","0.87K","-1.36%"
"09/13/2015","8.09","8.23","8.23","8.13","2.95K","-1.82%"
"09/06/2015","8.24","8.10","8.27","8.10","0.17K","2.11%"
"08/30/2015","8.07","7.99","8.15","7.99","0.13K","-0.25%"
"08/23/2015","8.09","8.13","8.13","8.03","0.32K","-1.10%"
"08/16/2015","8.18","8.25","8.29","8.18","0.05K","-1.45%"
"08/09/2015","8.30","7.93","8.21","7.93","0.09K","6.96%"
"08/02/2015","7.76","7.91","7.95","7.80","0.23K","-1.15%"
"07/26/2015","7.85","7.97","8.04","7.87","0.09K","-1.63%"
"07/19/2015","7.98","7.98","7.98","7.98","0.30K","3.37%"
"07/12/2015","7.72","7.65","7.81","7.65","0.08K","1.71%"
"07/05/2015","7.59","7.39","7.39","7.33","0.06K","2.29%"
"06/28/2015","7.42","7.30","7.47","7.30","1.12K","-1.33%"
"06/21/2015","7.52","7.47","7.55","7.47","5.44K","1.48%"
"06/14/2015","7.41","7.57","7.57","7.40","1.83K","-2.63%"
"06/07/2015","7.61","7.51","7.60","7.51","6.00K","2.84%"
"05/31/2015","7.40","7.25","7.53","7.25","1.23K","1.09%"
"05/24/2015","7.32","7.37","7.37","7.17","1.25K","0.27%"
"05/17/2015","7.30","7.53","7.55","7.27","0.13K","-3.82%"
"05/10/2015","7.59","7.54","7.68","7.51","1.09K","0.80%"
"05/03/2015","7.53","7.55","7.67","7.54","0.08K","0.67%"
"04/26/2015","7.48","7.30","7.50","7.15","0.45K","2.75%"
"04/19/2015","7.28","7.10","7.32","7.06","1.92K","6.43%"
"04/12/2015","6.84","6.92","6.92","6.80","0.79K","-1.44%"
"04/05/2015","6.94","7.14","7.15","6.97","2.47K","-2.94%"
